Timestamp,Name,Value
8.231867,"NT:/limelight-front/json","{""Results"":{""Bardcode"":[],""Classifier"":[],""Detector"":[],""Fiducial"":[],""Retro"":[{""pts"":[],""t6c_ts"":[],""t6r_fs"":[],""t6r_ts"":[],""t6t_cs"":[],""t6t_rs"":[],""ta"":3.804960215347819e-05,""tx"":1.7772276414856236,""txp"":671.912841796875,""ty"":6.0657413811898095,""typ"":369.1210021972656}],""botpose"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpiblue"":[0.0,0.0,0.0,0.0,0.0,0.0],""botpose_wpired"":[0.0,0.0,0.0,0.0,0.0,0.0],""cl"":37.619998931884766,""pID"":0.0,""t6c_rs"":[0.0,0.0,0.0,0.0,0.0,-0.0],""tl"":29.646240234375,""ts"":57857.053316,""v"":1}}"
8.232201,"NT:/limelight-front/tvert",7
8.232516,"NT:/limelight-front/camMode",0
8.23285,"NT:/limelight-front/llpython",
8.233147,"NT:/SmartDashboard/limelight-front_Interface","http://10.17.81.98:5801"
8.233481,"NT:/limelight-front/tshort",4.635235786437988
8.234167,"NT:/CameraPublisher/limelight-front/streams","mjpg:http://10.17.81.98:5800"
8.23452,"NT:/limelight-front/tclass",""
8.235021,"NT:/limelight-front/cl",37.619998931884766
8.235429,"NT:/limelight-front/camerapose_targetspace",0;0;0;0;0;0
8.242904,"NT:/limelight-front/tlong",19.416488647460938
8.24348,"NT:/SmartDashboard/limelight-front_PipelineName","notes"
8.243813,"NT:/limelight-front/ta",0.004664144478738308
8.24654,"NT:/limelight-front/pipeline",0
8.246985,"NT:/limelight-front/tc",0.10196078568696976;0.0941176488995552;0.07058823853731155
8.247375,"NT:/limelight-front/tl",29.646240234375
8.248247,"NT:/limelight-front/ts",78.11134338378906
8.248581,"NT:/limelight-front/tv",1
8.248933,"NT:/limelight-front/tx",1.7832025289535522
8.249267,"NT:/limelight-front/ty",6.086889266967773
8.252142,"NT:/limelight-front/getpipe",0
8.252662,"NT:/limelight-front/botpose_wpiblue",0;0;0;0;0;0;67.2662353515625
8.254721,"NT:/limelight-front/tid",-1
8.255203,"NT:/limelight-front/hb",1556
8.262159,"NT:/limelight-front/ledMode",0
8.262623,"NT:/limelight-front/botpose",0;0;0;0;0;0;67.2662353515625
8.263087,"NT:/limelight-front/thor",20
8.263439,"NT:/limelight-front/botpose_wpired",0;0;0;0;0;0;67.2662353515625
8.263773,"NT:/CameraPublisher/limelight-front/mode","320x240 MJPEG 22 fps"
8.264886,"NT:/limelight-front/stream",0
8.265331,"NT:/CameraPublisher/limelight-front/source","ip:http://10.17.81.98:5800"
8.266463,"NT:/CameraPublisher/limelight-front/modes","320x240 MJPEG 22 fps"
8.266964,"NT:/SmartDashboard/limelight-front_Stream","http://10.17.81.98:5800"
8.273735,"NT:/limelight-front/targetpose_cameraspace",0;0;0;0;0;0
8.274365,"NT:/limelight-front/botpose_targetspace",0;0;0;0;0;0
8.280802,"NT:/limelight-front/targetpose_robotspace",0;0;0;0;0;0
